Year;CO2 [ppm];ndepo [kgN/ha/yr];pdepo [kgP/ha/yr]
2062;601.6;3.18;0.183
2063;601.6;3.18;0.183
2064;601.6;3.18;0.183
2065;601.6;3.18;0.183
2066;601.6;3.18;0.183
2067;601.6;3.18;0.183
2068;601.6;3.18;0.183
2069;601.6;3.18;0.183
2070;601.6;3.18;0.183
2071;601.6;3.18;0.183
2072;601.6;3.18;0.183
2073;601.6;3.18;0.183
2074;601.6;3.18;0.183
2075;601.6;3.18;0.183
2076;601.6;3.18;0.183
2077;601.6;3.18;0.183
2078;601.6;3.18;0.183
2079;601.6;3.18;0.183
2080;601.6;3.18;0.183
2081;601.6;3.18;0.183
2082;601.6;3.18;0.183
2083;601.6;3.18;0.183
2084;601.6;3.18;0.183
2085;601.6;3.18;0.183
2086;601.6;3.18;0.183
2087;601.6;3.18;0.183
2088;601.6;3.18;0.183
2089;601.6;3.18;0.183
2090;601.6;3.18;0.183
2091;601.6;3.18;0.183
2092;601.6;3.18;0.183
2093;601.6;3.18;0.183
2094;601.6;3.18;0.183
2095;601.6;3.18;0.183
2096;601.6;3.18;0.183
2097;601.6;3.18;0.183
2098;601.6;3.18;0.183
2099;601.6;3.18;0.183
2100;601.6;3.18;0.183
